city,state,lga,population2026,growthRate,note
"Michika","Adamawa","Michika",266781,0.02744015158517432,""
"Oju","Benue","Oju",266706,0.023226370793241635,""
"Kura","Kano","Kura",266454,0.031575931675816404,""
"Owerri North","Imo","Owerri North",266131,0.02079321851866056,""
"Sule Tankarkar","Jigawa","Sule Tankarkar",265435,0.03445520939694613,""
"Nguru","Yobe","Nguru",265264,0.02867336254701991,""
"Kware","Sokoto","Kware",265222,0.03469369443176551,""
"Iwo","Osun","Iwo",265145,0.01644202165179265,""
"Ido-Osi","Ekiti","Ido-Osi",265050,0.025556694848033468,""
"Atiba","Oyo","Atiba",262971,0.02258092112426313,""
"Mayo-Belwa","Adamawa","Mayo Belwa",262534,0.027429801389296626,""
"Essien Udim","Akwa Ibom","Essien Udim",262094,0.015348736305456079,""
"Ahoada East","Rivers","Ahoada East",261946,0.02296682482963308,""
"Oyi","Anambra","Oyi",261895,0.0223843598361968,""
"Ife East","Osun","Ife East",261422,0.01645476107158128,""
"Umu-Nneochi","Abia","Umu Nneochi",260887,0.0237567348027925,""
"Anambra West","Anambra","Anambra West",260469,0.02237722162909006,""
"Auyo","Jigawa","Auyo",260390,0.0344471414553531,""
"Mubi North","Adamawa","Mubi North",260302,0.027428133868554916,""
"Taura","Jigawa","Taura",259588,0.03444593216016312,""
"Danja","Katsina","Danja",259353,0.036968177619978615,""
"Agaie","Niger","Agaie",259329,0.03430410644204085,""
"Afikpo South","Ebonyi","Afikpo South",259294,0.02522596613868755,""
"Shanono","Kano","Shanono",259099,0.03157647471015412,""
"Wase","Plateau","Wase",259036,0.02442458277307602,""
"Sapele","Delta","Sapele",258366,0.019883234844806585,""
"Kibiya","Kano","Kibiya",258204,0.03159047052102104,""
"Kuje","Federal Capital Territory","Kuje",257764,0.04995519348268829,""
"Ahiazu-Mbaise","Imo","Ahiazu Mbaise",257759,0.02078325300679973,""
"Afikpo North","Ebonyi","Afikpo North",257728,0.025207744111762187,""
"Obi","Benue","Obi",256377,0.027513706755586842,"Name also exists as an LGA in Nasarawa; source CSV had two unlabeled rows for 'Obi' so this state/population pairing is our best estimate, not confirmed."
"Madobi","Kano","Madobi",256374,0.03157403420956273,""
"Ibiono Ibom","Akwa Ibom","Ibiono-Ibom",255833,0.015359398006850267,""
"Nasarawa-Eggon","Nasarawa","Nasarawa Eggon",255369,0.027509535995364764,""
"Shelleng","Adamawa","Shelleng",255194,0.027446180604484338,""
"Ezinihitte","Imo","Ezinihitte",254735,0.020801942743564172,""
"Jaba","Kaduna","Jaba",254004,0.024684833693043196,""
"Kaugama","Jigawa","Kaugama",253992,0.03446000708668162,""
"Gombi","Adamawa","Gombi",253963,0.027437383941322446,""
"Akuku Toru","Rivers","Akuku Toru",253736,0.022972286504487238,""
"Konduga","Borno","Konduga",253595,0.02415866695205815,""
"Gwiwa","Jigawa","Gwiwa",253543,0.03447248810660408,""
"Akamkpa","Cross River","Akamkpa",253285,0.026642400856058845,""
"Ovia North East","Edo","Ovia North East",253020,0.024691908003709573,""
"Owan East","Edo","Owan East",251932,0.02470531770371509,""
"Miga","Jigawa","Miga",251816,0.0344620769265529,""
"Ishielu","Ebonyi","Ishielu",251116,0.025222709420343215,""
"Dutsi","Katsina","Dutsi",249867,0.036960337980004976,""
"Gbako","Niger","Gbako",249032,0.03430631468775447,""
"Shanga","Kebbi","Shanga",248315,0.03403833581104432,""
"Isu","Imo","Isu",247994,0.02078668335089562,""
"Ika South","Delta","Ika South",247786,0.019909528337223037,""
"Jalingo","Taraba","Jalingo",247158,0.02871056355614754,""
"Sanga","Kaduna","Sanga",246736,0.024689460984837375,""
"Ekwusigo","Anambra","Ekwusigo",246715,0.022390100782389677,""
"Isiala-Ngwa North","Abia","Isiala Ngwa North",246513,0.023776101799092952,""
"Irele","Ondo","Irele",246478,0.02718854447102359,""
"Ose","Ondo","Ose",246477,0.027188657778814962,""
"Abakaliki","Ebonyi","Abakaliki",246370,0.02523022633547911,""
"Ayamelum","Anambra","Ayamelum",246277,0.02239261384157465,""
"Ngaski","Kebbi","Ngaski",246250,0.03402954490102705,""
"Bade","Yobe","Bade",246124,0.028684156632296842,""
"Ikere","Ekiti","Ikere",246005,0.025537875345486682,""
"Warawa","Kano","Warawa",245639,0.03159384501671458,""
"Irepodun","Osun","Irepodun",245298,0.02572487099930587,"Name also exists as an LGA in Kwara; source CSV had two unlabeled rows for 'Irepodun' so this state/population pairing is our best estimate, not confirmed."
"Aiyekire (Gbonyin)","Ekiti","Gbonyin",245130,0.025549842483777674,""
"Abi","Cross River","Abi",244177,0.026643962327615123,""
"Odogbolu","Ogun","Odogbolu",244039,0.033748178521807004,""
"Ohaozara","Ebonyi","Ohaozara",244032,0.025211001928320265,""
"Gubio","Borno","Gubio",243925,0.024167712842561473,""
"Kebbe","Sokoto","Kebbe",243692,0.03471087012827101,""
"Jamaare","Bauchi","Jama'are",242529,0.036905133456179406,""
"Nnewi North","Anambra","Nnewi North",242005,0.022382101078548544,""
"Bunza","Kebbi","Bunza",241353,0.0340523981919838,""
"Nkanu East","Enugu","Nkanu East",241225,0.02282893983658485,""
"Kurfi","Katsina","Kurfi",241199,0.03696904557179703,""
"Ideato South","Imo","Ideato South",240936,0.0207898182003059,""
"Moba","Ekiti","Moba",240811,0.025543730543027943,""
"Fika","Yobe","Fika",240756,0.02869155404394963,""
"Opobo-Nkoro","Rivers","Opobo-Nkoro",240702,0.022970968605634523,""
"Ibadan North West","Oyo","Ibadan North West",240644,0.022559330316357595,""
"Ezza North","Ebonyi","Ezza North",240505,0.025218573760918073,""
"Mkpat Enin","Akwa Ibom","Mkpat-Enin",240405,0.015343875120368944,""
"Etsako East","Edo","Etsako East",240019,0.02469752469752473,""
"Doma","Nasarawa","Doma",239216,0.027520413729709814,""
"Makarfi","Kaduna","Makarfi",238813,0.024706614318508402,""
"Ngor-Okpala","Imo","Ngor Okpala",238220,0.020786822585690423,""
"Katcha","Niger","Katcha",237361,0.03430680471310055,""
"Warji","Bauchi","Warji",237316,0.03689398441050029,""
"Takum","Taraba","Takum",237088,0.028719697659989052,""
"Anambra East","Anambra","Anambra East",236868,0.022379717113469644,""
"Ideato North","Imo","Ideato North",235739,0.020806810603895443,""
"Matazu","Katsina","Matazu",235174,0.036954403354600984,""
"Donga","Taraba","Donga",234516,0.02872332959011792,""
"Eket","Akwa Ibom","Eket",234469,0.015360164904166806,""
"Dan Musa","Katsina","Dan Musa",233907,0.03695970208804367,""
"Fakai","Kebbi","Fakai",233907,0.03403504739001284,""
"Isi-Uzo","Enugu","Isi Uzo",233473,0.022851435005279086,""
"Ori Ire","Oyo","Ori Ire",233428,0.02256021167173361,""
"Oruk Anam","Akwa Ibom","Oruk Anam",233087,0.015359751874229444,""
"Madagali","Adamawa","Madagali",232233,0.02743871415867738,""
"Ife Central","Osun","Ife Central",231746,0.01645211517796441,""
"Igbo-Eze South","Enugu","Igbo Eze South",231494,0.02283883795426922,""
"Nkanu West","Enugu","Nkanu West",231486,0.02283060635651446,""
"Lagelu","Oyo","Lagelu",231466,0.022566023732317753,""
"Ikenne","Ogun","Ikenne",231369,0.033751089069097295,""
"Njikoka","Anambra","Njikoka",231091,0.02239083307525558,""
"Askira/Uba","Borno","Askira/Uba",231048,0.02416709516126181,""
"Langtang North","Plateau","Langtang North",230625,0.024430871737923354,""
"Olamaboro","Kogi","Olamaboro",230145,0.01882758132204776,""
"Lapai","Niger","Lapai",229677,0.03428756704178548,""
"Etinan","Akwa Ibom","Etinan",229160,0.015366074118710493,""
"Ekiti East","Ekiti","Ekiti East",229080,0.025535420098846684,""
"Gujba","Yobe","Gujba",228553,0.028693209948779774,""
"Kwali","Federal Capital Territory","Kwali",228482,0.04996093929506906,""
"Oye","Ekiti","Oye",228199,0.025539736468388696,""
"Yabo","Sokoto","Yabo",228090,0.0346986268434637,""
"Augie","Kebbi","Augie",227280,0.03403564165442052,""
"Tangaza","Sokoto","Tangaza",227064,0.03470526047172906,""
"Kudan","Kaduna","Kudan",226343,0.024695773423635492,""
"Magumeri","Borno","Magumeri",226091,0.024157674920048278,""
"Ikeduru","Imo","Ikeduru",225948,0.020786367106850223,""
"Zing","Taraba","Zing",225004,0.028735500802399505,""
"Ovia South West","Edo","Ovia South West",224911,0.024693495405278654,""
"Akure North","Ondo","Akure North",223667,0.027201668013814295,""
"Mubi South","Adamawa","Mubi South",223318,0.027443835603833344,""
"Guri","Jigawa","Guri",223176,0.03444823494512006,""
"Girei","Adamawa","Girei",223082,0.027421613057735605,""
"Ndokwa West","Delta","Ndokwa West",222453,0.019888590880957402,""
"Oshimili South","Delta","Oshimili South",222450,0.019888864436619746,""
"Umuahia South","Abia","Umuahia South",222450,0.023770623835055238,""
"Idanre","Ondo","Idanre",221994,0.027198356438209004,""
"Yunusari","Yobe","Yunusari",221713,0.028682648899694296,""
"Garum Mallam","Kano","Garun Mallam",220943,0.03158587716758965,""
"Ikwuano","Abia","Ikwuano",220580,0.023767863027304603,""
"Ezza South","Ebonyi","Ezza South",219834,0.025206478601308646,""
"Surulere","Lagos","Surulere",219341,0.02258306642983343,"Oyo also has a Surulere LGA; source CSV gave only one population figure for the name, assigned here to the better-known Lagos Surulere."
"Isiala-Ngwa South","Abia","Isiala Ngwa South",218607,0.02377172401197014,""
"Irepodun/Ifelodun","Ekiti","Irepodun/Ifelodun",217603,0.02557298858971513,""
"Njaba","Imo","Njaba",216498,0.02077881664002712,""
"Orlu","Imo","Orlu",215538,0.020800772924895572,""
"Osogbo","Osun","Osogbo",215518,0.01645529620948083,""
"Nembe","Bayelsa","Nembe",215404,0.025191446425936848,""
"Oguta","Imo","Oguta",214894,0.02080621716370401,""
"Yagba East","Kogi","Yagba East",214420,0.018835290987189612,""
"Aninri","Enugu","Aninri",213980,0.022839169797611802,""
"Onitsha South","Anambra","Onitsha South",213600,0.0223813444123222,""
"Igalamela-Odolu","Kogi","Igalamela-Odolu",213557,0.018830208482419675,""
"Riyom","Plateau","Riyom",213556,0.024436108259539013,""
"Oyo West","Oyo","Oyo West",213203,0.022561259286615343,""
"Isoko North","Delta","Isoko North",212813,0.019878753025183826,""
"Odeda","Ogun","Odeda",212760,0.03375896449186633,""
"Ife North","Osun","Ife North",212422,0.016451020173793296,""
"Ijebu East","Ogun","Ijebu East",212287,0.03374107655898473,""
"Udu","Delta","Udu",211319,0.019903955211274305,""
"Aniocha South","Delta","Aniocha South",210669,0.01990240029434842,""
"Kabba/Bunu","Kogi","Kabba/Bunu",210009,0.018842935112189263,""
"Gumel","Jigawa","Gumel",209441,0.03445533795964728,""
"Ebonyi","Ebonyi","Ebonyi",209347,0.025210701325667717,""
"Marte","Borno","Marte",208596,0.02415601249042587,""
"Esan West","Edo","Esan West",208042,0.024696101030399653,""
"Aiyedaade","Osun","Aiyedaade",207301,0.01645541690161556,""
"Ogbadibo","Benue","Ogbadibo",207279,0.02321092720298945,""
"Asa","Kwara","Asa",207226,0.025734184044706954,""
"Silame","Sokoto","Silame",206877,0.034685058667013324,""
"Afijio","Oyo","Afijio",206536,0.022566814207487962,""
"Binji","Sokoto","Binji",206322,0.03470895331517898,""
"Kaiama","Kwara","Kaiama",206113,0.025723584680308997,""
"Oriade","Osun","Oriade",205578,0.016434780029072282,""
"Hadejia","Jigawa","Hadejia",205314,0.034452528265382254,""
"Kunchi","Kano","Kunchi",205202,0.03158572082103772,""
"Toto","Nasarawa","Toto",204879,0.027513503483071133,""
"Kusada","Katsina","Kusada",203274,0.036969397072852184,""
"Yagba West","Kogi","Yagba West",203213,0.018831126508470408,""
"Muya","Niger","Munya",203144,0.03431175377408935,""
"Bassa","Plateau","Bassa",202896,0.018840637930341853,"Name also exists as an LGA in Plateau; source CSV had two unlabeled rows for 'Bassa' so this state/population pairing is our best estimate, not confirmed."
"Oji-River","Enugu","Oji River",202278,0.02285104597009502,""
"Warri North","Delta","Warri North",201900,0.01989785866913185,""
"Kanke","Plateau","Kanke",201317,0.024414942066670386,""
"Okigwe","Imo","Okigwe",200344,0.020809130744930293,""
"Obot Akara","Akwa Ibom","Obot Akara",199828,0.015370700649888436,""
"Uzo-Uwani","Enugu","Uzo-Uwani",199756,0.022842366676054215,""
"Ivo","Ebonyi","Ivo",199745,0.02522712107991576,""
"Itesiwaju","Oyo","Itesiwaju",199114,0.02258149005993304,""
"Esan North East","Edo","Esan North East",198661,0.024680723761579593,""
"Uhunmwonde","Edo","Uhunmwonde",198345,0.024699840879502277,""
"Irewole","Osun","Irewole",197902,0.016445814072932663,""
"Oyigbo","Rivers","Oyigbo",197460,0.022986897934442974,""
"Ehime-Mbano","Imo","Ehime Mbano",197075,0.020796643530508696,""
"Yauri","Kebbi","Yauri",196412,0.03403580998910227,""
"Onitsha North","Anambra","Onitsha North",196000,0.022372216513397714,""
"Yusufari","Yobe","Yusufari",194950,0.02868389670420135,""
"Awe","Nasarawa","Awe",194628,0.02752157960034851,""
"Hawul","Borno","Hawul",194627,0.024163969795037765,""
"Oyo East","Oyo","Oyo East",193978,0.022583740128839125,""
"Gwer West","Benue","Gwer West",193584,0.023219920609331313,""
"Bursari","Yobe","Bursari",193171,0.02869817128372265,""
"Nwangele","Imo","Nwangele",192734,0.02079901698559916,""
"Akwanga","Nasarawa","Akwanga",192628,0.027530178644774805,""
"Rimin Gado","Kano","Rimin Gado",192513,0.03157753724145329,""
"Boripe","Osun","Boripe",192238,0.01643851551057751,""
"Ikot Ekpene","Akwa Ibom","Ikot Ekpene",191857,0.015368901261160195,""
"Buji","Jigawa","Buji",191584,0.03446525666708067,""
"Lamurde","Adamawa","Lamurde",191235,0.027454667562122337,""
"Okpe","Delta","Okpe",190437,0.01990681233933156,""
"Irepo","Oyo","Irepo",189490,0.022578869545508473,""
"Tai","Rivers","Tai",189445,0.02295983109512778,""
"Maiha","Adamawa","Maiha",189331,0.027442829699252158,""
"Owerri Municipal","Imo","Owerri Municipal",189143,0.02078892121042042,""
"Gudu","Sokoto","Gudu",188790,0.03471521901170682,""
"Ise/Orun","Ekiti","Ise/Orun",188710,0.025547663429506207,""
"Abak","Akwa Ibom","Abak",188665,0.015370622520975763,""
"Yankwashi","Jigawa","Yankwashi",188384,0.03447442698208736,""
"Mobbar","Borno","Mobbar",188028,0.024167851365263004,""
"Kokona","Nasarawa","Kokona",186821,0.02751087620105719,""
"Ife South","Osun","Ife South",186373,0.016448785702209312,""
"Ibesikpo Asutan","Akwa Ibom","Ibesikpo Asutan",186002,0.015361268205341005,""
"Dass","Bauchi","Dass",185993,0.036894773519163815,""
"Karasuwa","Yobe","Karasuwa",185772,0.028689137332425174,""
"Obanliku","Cross River","Obanliku",185528,0.026650139448403998,""
"Ibaji","Kogi","Ibaji",185206,0.01881332995940288,""
"Isuikwuato","Abia","Isuikwuato",185204,0.023758194863630733,""
"Pategi","Kwara","Pategi",184186,0.025717277020404605,""
"Tofa","Kano","Tofa",183692,0.03159502656318436,""
"Ejigbo","Osun","Ejigbo",183588,0.016432288783080562,""
"Ibarapa East","Oyo","Ibarapa East",183148,0.02257906021082734,""
"Odo-Otin","Osun","Odo Otin",183072,0.0164567925911121,""
"Agatu","Benue","Agatu",182950,0.023216013512379785,""
"Olorunda","Osun","Olorunda",182420,0.016442951150337892,""
"Gulani","Yobe","Gulani",182172,0.02866242038216571,""
"Orsu","Imo","Orsu",181436,0.020794418813997906,""
"Moro","Kwara","Moro",180646,0.02571585934350451,""
"Ihitte/Uboma","Imo","Ihitte/Uboma",180246,0.020795813653199158,""
"Ikot Abasi","Akwa Ibom","Ikot Abasi",179828,0.015346394895827453,""
"Sakaba","Kebbi","Sakaba",179147,0.03403154960144539,""
"Kajuru","Kaduna","Kajuru",178815,0.024680816925298554,""
"Ikono","Akwa Ibom","Ikono",178551,0.015342359811888251,""
"Bekwara","Cross River","Bekwarra",178529,0.02664826475746862,""
"Gurara","Niger","Gurara",178419,0.03430704749537683,""
"Ajaokuta","Kogi","Ajaokuta",177779,0.01882586220729654,""
"Obowo","Imo","Obowo",177196,0.020784846878816543,""
"Monguno","Borno","Monguno",177015,0.024149362709079414,""
"Ukwuani","Delta","Ukwuani",176461,0.019876085122123133,""
"Oshimili North","Delta","Oshimili North",175833,0.01991299303944305,""
"Awka North","Anambra","Awka North",174711,0.022395309098569793,""
"Oru West","Imo","Oru West",174590,0.020779251151804345,""
"Itu","Akwa Ibom","Itu",173468,0.015370927523676858,""
"Bogoro","Bauchi","Bogoro",173063,0.03692009035296384,""
"Warri South West","Delta","Warri South West",172788,0.01988560905211334,""
"Nsit Ubium","Akwa Ibom","Nsit-Ubium",172402,0.015365768906845378,""
"Ijumu","Kogi","Ijumu",172169,0.018811764009704746,""
"Atisbo","Oyo","Atisbo",171890,0.022582602591407097,""
"Esan Central","Edo","Esan Central",171441,0.02469681846164873,""
"Aba North","Abia","Aba North",170932,0.023771733857201882,""
"Langtang South","Plateau","Langtang South",170367,0.024406522837145506,""
"Saki East","Oyo","Saki East",170234,0.022561539662898422,""
"Ukanafun","Akwa Ibom","Ukanafun",170158,0.015353402750842848,""
"Dikwa","Borno","Dikwa",169320,0.0241583296033292,""
"Oru East","Imo","Oru East",168620,0.0207825070980161,""
"Lau","Taraba","Lau",167641,0.028705902566840358,""
"Kogi","Kogi","Kogi",167107,0.018814663975954327,""
"Onna","Akwa Ibom","Onna",167078,0.015350770577082118,""
"Mafa","Borno","Mafa",167013,0.02416723901098905,""
"Kalgo","Kebbi","Kalgo",165890,0.03403998030281308,""
"Irepodun","Kwara","Irepodun",165650,0.01642603376019336,"Name also exists as an LGA in Kwara; source CSV had two unlabeled rows for 'Irepodun' so this state/population pairing is our best estimate, not confirmed."
"Tafa","Niger","Tafa",164691,0.03431578815150704,""
"Shani","Borno","Shani",162839,0.024176860907575648,""
"Ido","Oyo","Ido",162706,0.02258786263763879,""
"Orelope","Oyo","Orelope",162465,0.02255132740020893,""
"Obokun","Osun","Obokun",161929,0.016446026275979353,""
"Gagarawa","Jigawa","Gagarawa",161816,0.03447702703566602,""
"Ibarapa Central","Oyo","Ibarapa Central",161396,0.022587451134441272,""
"Abadam","Borno","Abadam",161286,0.024155141539985436,""
"Owan West","Edo","Owan West",161282,0.024676298301121946,""
"Imeko Afon","Ogun","Imeko Afon",161139,0.0337573856309783,""
"Kurmi","Taraba","Kurmi",160822,0.028720927257375406,""
"Iwajowa","Oyo","Iwajowa",160731,0.022578921250524964,""
"Wushishi","Niger","Wushishi",160437,0.03428335664876636,""
"Ussa","Taraba","Ussa",160155,0.028725037415774368,""
"Nganzai","Borno","Nganzai",159760,0.02417478155510966,""
"Keffi","Nasarawa","Keffi",159293,0.02752441525937588,""
"Uruan","Akwa Ibom","Uruan",158891,0.015349321677561978,""
"Yorro","Taraba","Yorro",158367,0.02873790948597854,""
"Omumma","Rivers","Omuma",158139,0.022983970087847583,""
"Numan","Adamawa","Numan",157355,0.027456741756447967,""
"Oyun","Kwara","Oyun",156960,0.025714752491422965,""
"Ogbomosho South","Oyo","Ogbomosho South",156911,0.022587897943888713,""
"Omala","Kogi","Omala",156767,0.018820960414893007,""
"Ibarapa North","Oyo","Ibarapa North",156671,0.02254986424394323,""
"Emure","Ekiti","Emure",156209,0.025572173273632037,""
"Obi","Nasarawa","Obi",156200,0.023215595849491732,"Name also exists as an LGA in Nasarawa; source CSV had two unlabeled rows for 'Obi' so this state/population pairing is our best estimate, not confirmed."
"Mikang","Plateau","Mikang",156167,0.024422082863215344,""
"Abaji","Federal Capital Territory","Abaji",155430,0.0499402176482906,""
"Guzamala","Borno","Guzamala",154676,0.024140899159107443,""
"Ardo-Kola","Taraba","Ardo Kola",154663,0.028720609265356245,""
"Damaturu","Yobe","Damaturu",154418,0.028685248347900316,""
"Aniocha North","Delta","Aniocha North",154286,0.019883922315207858,""
"Nangere","Yobe","Nangere",154081,0.028687977354056482,""
"Gashaka","Taraba","Gashaka",153536,0.028710025393464678,""
"Owerri West","Imo","Owerri West",153523,0.020778201837790444,""
"Etsako Central","Edo","Etsako Central",153463,0.02468517554050975,""
"Apa","Benue","Apa",153126,0.02320701890373056,""
"Ndokwa East","Delta","Ndokwa East",153109,0.019910738076205803,""
"Roni","Jigawa","Roni",152411,0.034452098958156485,""
"Dunukofia","Anambra","Dunukofia",150220,0.0223637823784828,""
"Unuimo","Imo","Onuimo",149944,0.020784118836416177,""
"Ibi","Taraba","Ibi",148498,0.028714332227248507,""
"Ilesha West","Osun","Ilesa West",148062,0.01646254393673119,""
"Offa","Kwara","Offa",147891,0.02573154576539216,""
"Nsit Ibom","Akwa Ibom","Nsit-Ibom",146556,0.015338570894126491,""
"Ilesha East","Osun","Ilesa East",146009,0.016421858684302126,""
"Kaga","Borno","Kaga",145128,0.02418472699557528,""
"Efon","Ekiti","Efon",144483,0.025582237239049066,""
"Ogun Waterside","Ogun","Ogun Waterside",144109,0.03373599414659334,""
"Etim Ekpo","Akwa Ibom","Etim Ekpo",143706,0.015374832191054955,""
"Jos East","Plateau","Jos East",143060,0.02441818832796283,""
"Orolu","Osun","Orolu",142501,0.01644126793917078,""
"Isokan","Osun","Isokan",141435,0.01645034711741622,""
"Akoko South East","Ondo","Akoko South East",140930,0.02717161557411707,""
"Keana","Nasarawa","Keana",140787,0.027514833925717186,""
"Ukwa West","Abia","Ukwa West",139724,0.023754048152869967,""
"Okobo","Akwa Ibom","Okobo",139333,0.015339435100708343,""
"Mbo","Akwa Ibom","Mbo",138600,0.015362299729676288,""
"Tarmua","Yobe","Tarmuwa",136721,0.028681278167768998,""
"Ugwunagbo","Abia","Ugwunagbo",136540,0.0237531115976366,""
"Etung","Cross River","Etung",135420,0.026640183160735686,""
"Tureta","Sokoto","Tureta",135371,0.03470916456470219,""
"Ini","Akwa Ibom","Ini",134333,0.015335893094690967,""
"Ifelodun","Kwara","Ifelodun",133640,0.01644381569540143,"Name also exists as an LGA in Kwara; source CSV had two unlabeled rows for 'Ifelodun' so this state/population pairing is our best estimate, not confirmed."
"Ijebu North East","Ogun","Ijebu North East",133609,0.03374133448873473,""
"Aleiro","Kebbi","Aleiro",131019,0.034039429861253634,""
"Kolokuma/Opokuma","Bayelsa","Kolokuma/Opokuma",130341,0.02517697026899479,""
"Ondo East","Ondo","Ondo East",130147,0.02720599842146809,""
"Bomadi","Delta","Bomadi",127570,0.019907259354013496,""
"Bayo","Borno","Bayo",127523,0.024174182615469775,""
"Olorunsogo","Oyo","Olorunsogo",127038,0.022545618455049654,""
"Tarka","Benue","Tarka",125521,0.02324121627129694,""
"Wamba","Nasarawa","Wamba",125062,0.027498664913938375,""
"Nkwerre","Imo","Nkwerre",121183,0.020806482862028686,""
"Ogu-Bolo","Rivers","Ogu-Bolo",118608,0.02299425574856384,""
"Oron","Akwa Ibom","Oron",118298,0.015363751845366869,""
"Ede North","Osun","Ede North",116132,0.016437061284506393,""
"Remo North","Ogun","Remo North",116019,0.03373339392157382,""
"Idah","Kogi","Idah",115830,0.018832076981941892,""
"Igueben","Edo","Igueben",114431,0.02467875531676733,""
"Agwara","Niger","Agwara",112620,0.03432124390400704,""
"Ohimini","Benue","Ohimini",111930,0.02324773510563416,""
"Machina","Yobe","Machina",107387,0.028689937926277942,""
"Ewekoro","Ogun","Ewekoro",107004,0.033745205823535684,""
"Chibok","Borno","Chibok",106942,0.024162269318802165,""
"Aiyedire","Osun","Aiyedire",105791,0.016468576150350245,""
"Ola-Oluwa","Osun","Ola Oluwa",105686,0.01647543112154115,""
"Atakunmosa East","Osun","Atakunmosa East",105461,0.01644258108042984,""
"Ede South","Osun","Ede South",104607,0.01644075207695672,""
"Egbedore","Osun","Egbedore",102465,0.01642710472279263,""
"Ogo Oluwa","Oyo","Ogo Oluwa",101909,0.022587248389492,""
"Ibeno","Akwa Ibom","Ibeno",101501,0.015355220775063572,""
"Patani","Delta","Patani",99986,0.019921863046117094,""
"Nsit Atai","Akwa Ibom","Nsit-Atai",99600,0.015383674343211862,""
"Isin","Kwara","Isin",98848,0.025713396285151013,""
"Ika","Akwa Ibom","Ika",98748,0.015382717064944762,""
"Boluwaduro","Osun","Boluwaduro",98306,0.016439885851358582,""
"Kala/Balge","Borno","Kala/Balge",98019,0.024135661223082527,""
"Urue-Offong/Oruko","Akwa Ibom","Urue-Offong/Oruko",95983,0.015381523130467922,""
"Atakunmosa West","Osun","Atakunmosa West",94672,0.016426531532498734,""
"Oke-Ero","Kwara","Oke Ero",94634,0.025698275581760743,""
"Ukwa East","Abia","Ukwa East",93054,0.023786471856709124,""
"Kwaya Kusar","Borno","Kwaya Kusar",91432,0.02417277146761654,""
"Ekiti","Kwara","Ekiti",90444,0.025744550547780465,""
"Toungo","Adamawa","Toungo",89716,0.027462836986646533,""
"Ila","Osun","Ila",86045,0.016479621972829372,""
"Esit Eket","Akwa Ibom","Esit Eket",85997,0.015384797034028397,""
"Eastern Obolo","Akwa Ibom","Eastern Obolo",81300,0.015323517290472433,""
"Ilejemeje","Ekiti","Ilejemeje",72020,0.025575301891091362,""
"Udung Uko","Akwa Ibom","Udung-Uko",71952,0.0153390249065124,""
"Mopa-Muro","Kogi","Mopa-Muro",63576,0.018846153846153957,""
"Ogori/Magongo","Kogi","Ogori/Magongo",57873,0.0188908450704226,""
"Bakassi","Cross River","Bakassi",53548,0.02664979485409713,""
"Ifedayo","Osun","Ifedayo",51985,0.01644376661974034,""
